model,emotion,precision_context_full_context,precision_context_test_context,precision_nocontext_full_context,precision_nocontext_test_context,recall_context_full_context,recall_context_test_context,recall_nocontext_full_context,recall_nocontext_test_context,f1_context_full_context,f1_context_test_context,f1_nocontext_full_context,f1_nocontext_test_context
phi4_14b,Surprise,0.03015075376884422,0.023809523809523808,0.10526315789473684,0.25,0.42857142857142855,0.25,0.14285714285714285,0.25,0.056338028169014086,0.043478260869565216,0.12121212121212122,0.25
qwen3_14b,Anger,0.3333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0
qwen3_14b,Disgust,0.03508771929824561,0.125,0.10714285714285714,0.5,0.5,1.0,0.75,1.0,0.06557377049180328,0.2222222222222222,0.1875,0.6666666666666666
qwen3_14b,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3_14b,Happiness,0.24444444444444444,0.23076923076923078,0.32,0.4,0.20754716981132076,0.2727272727272727,0.1509433962264151,0.18181818181818182,0.22448979591836735,0.25,0.20512820512820512,0.25
qwen3_14b,Neutral,0.9201277955271565,0.9256198347107438,0.9040114613180515,0.8865248226950354,0.8648648648648649,0.8421052631578947,0.9474474474474475,0.9398496240601504,0.891640866873065,0.8818897637795275,0.9252199413489736,0.9124087591240876
qwen3_14b,Sadness,0.07142857142857142,0.0,0.09090909090909091,0.0,0.2,0.0,0.2,0.0,0.10526315789473684,0.0,0.125,0.0
qwen3_14b,Surprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3_30b,Anger,0.2,0.0,0.25,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.06896551724137931,0.0,0.07142857142857142,0.0
qwen3_30b,Disgust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3_30b,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3_30b,Happiness,0.17391304347826086,0.2,0.5,0.3333333333333333,0.1509433962264151,0.18181818181818182,0.09433962264150944,0.09090909090909091,0.16161616161616163,0.19047619047619047,0.15873015873015872,0.14285714285714285
qwen3_30b,Neutral,0.8798842257597684,0.8740740740740741,0.8856749311294766,0.8827586206896552,0.9129129129129129,0.8872180451127819,0.9654654654654654,0.9624060150375939,0.8960943257184967,0.8805970149253731,0.9238505747126436,0.920863309352518
qwen3_30b,Sadness,0.5,0.0,0.125,0.0,0.2,0.0,0.2,0.0,0.2857142857142857,0.0,0.15384615384615385,0.0
qwen3_30b,Surprise,0.0,0.0,0.25,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.18181818181818182,0.0
